Nick,Country,Age,Team,Rating,DPR,KAST,Impact,ADR,KPR
cadiaN,Denmark,28,Heroic,1.11,0.58,72.5%,1.06,71.9,0.66
stavn,Denmark,21,Heroic,1.16,0.64,74.3%,1.15,81.2,0.73
TeSeS,Denmark,22,Heroic,1.07,0.64,73.8%,1.04,72.5,0.66
sjuush,Denmark,24,Heroic,1.08,0.63,72.4%,1.03,73.3,0.67
jabbi,Denmark,19,Heroic,1.13,0.63,74.3%,1.13,76.3,0.71
apEX,France,30,Vitality,0.93,0.65,68.1%,0.84,67.7,0.56
Magisk,Denmark,25,Vitality,1.10,0.62,74.1%,1.02,76.3,0.67
ZywOo,France,22,Vitality,1.33,0.57,77.2%,1.37,84.4,0.83
flameZ,Israel,20,Vitality,1.11,0.67,73.2%,1.12,78.1,0.69
Spinx,Israel,22,Vitality,1.18,0.62,74.7%,1.14,80.2,0.76
karrigan,Denmark,33,FaZe,0.87,0.70,65.2%,0.88,63.0,0.53
rain,Norway,28,FaZe,1.06,0.69,69.8%,1.11,78.1,0.67
Twistzz,Canada,23,FaZe,1.10,0.62,73.8%,1.04,74.9,0.68
ropz,Estonia,23,FaZe,1.16,0.60,72.4%,1.09,79.9,0.74
broky,Latvia,22,FaZe,1.15,0.60,75.0%,1.01,74.3,0.74
NiKo,Bosnia and Herzegovina,26,G2,1.21,0.63,72.2%,1.32,85.3,0.76
huNter-,Bosnia and Herzegovina,27,G2,1.09,0.64,72.2%,1.01,76.8,0.71
jks,Australia,27,G2,1.10,0.59,74.5%,0.97,72.9,0.67
HooXi,Denmark,28,G2,0.86,0.68,66.6%,0.79,60.3,0.51
m0NESY,Russia,18,G2,1.20,0.58,74.8%,1.18,75.5,0.76
Snappi,Denmark,33,ENCE,0.96,0.68,68.9%,0.92,70.6,0.59
NertZ,Israel,23,ENCE,1.18,0.64,71.9%,1.25,81.2,0.75
Maden,Montenegro,24,ENCE,0.99,0.68,67.9%,0.98,72.7,0.63
dycha,Poland,25,ENCE,1.09,0.65,70.8%,1.07,79.5,0.70
SunPayus,Spain,24,ENCE,1.11,0.57,73.7%,1.04,69.4,0.69
HObbit,Kazakhstan,29,Cloud9,1.11,0.64,72.5%,1.10,77.5,0.67
buster,Kazakhstan,23,Cloud9,0.97,0.61,70.9%,0.80,64.9,0.57
Ax1Le,Russia,21,Cloud9,1.19,0.63,73.2%,1.20,82.8,0.76
sh1ro,Russia,21,Cloud9,1.26,0.54,76.3%,1.18,79.4,0.80
nafany,Russia,22,Cloud9,0.93,0.71,67.7%,0.93,68.1,0.58
acoR,Denmark,26,GamerLegion,1.09,0.59,70.1%,1.08,70.3,0.70
iM,Romania,23,GamerLegion,1.19,0.66,71.7%,1.27,85.1,0.77
Keoz,Belgium,22,GamerLegion,0.96,0.68,68.3%,0.93,69.1,0.61
siuhy,Poland,20,GamerLegion,1.06,0.67,69.9%,1.08,75.6,0.68
isak,Sweden,21,GamerLegion,0.99,0.64,71.2%,0.83,69.1,0.60
s1mple,Ukraine,25,Natus Vincere,1.19,0.60,72.9%,1.21,78.0,0.75
electroNic,Russia,24,Natus Vincere,1.11,0.68,69.7%,1.19,81.1,0.70
Perfecto,Russia,23,Natus Vincere,1.02,0.62,72.3%,0.87,71.0,0.63
b1t,Ukraine,20,Natus Vincere,1.06,0.61,72.1%,0.98,70.9,0.65
npl,Ukraine,17,Natus Vincere,0.92,0.65,68.9%,0.82,62.9,0.56
STYKO,Slovakia,27,Apeks,0.97,0.65,69.1%,0.87,69.1,0.61
jkaem,Norway,29,Apeks,1.13,0.71,70.0%,1.24,82.7,0.74
nawwk,Sweden,25,Apeks,1.13,0.54,74.3%,0.99,69.5,0.71
jL,Lithuania,23,Apeks,1.13,0.69,70.8%,1.17,83.1,0.75
kyxsan,North Macedonia,23,Apeks,1.02,0.67,71.2%,0.96,73.2,0.64
dexter,Australia,28,MOUZ,0.90,0.71,65.6%,0.91,65.5,0.58
frozen,Slovakia,20,MOUZ,1.21,0.57,75.1%,1.11,84.3,0.75
JDC,Germany,23,MOUZ,0.98,0.65,70.0%,0.89,69.1,0.62
torzsi,Hungary,21,MOUZ,1.05,0.59,71.3%,0.97,65.3,0.66
xertioN,Israel,18,MOUZ,1.11,0.70,70.3%,1.19,82.5,0.72
NAF,Canada,25,Liquid,1.13,0.60,75.5%,0.96,79.2,0.68
oSee,United States,24,Liquid,1.06,0.59,72.4%,0.93,66.8,0.67
YEKINDAR,Latvia,23,Liquid,1.11,0.68,69.7%,1.23,79.1,0.70
Rainwaker,Bulgaria,22,Liquid,1.12,0.62,72.8%,1.04,79.2,0.71
Patsi,Russia,19,Liquid,0.99,0.74,66.5%,1.07,75.5,0.66
arT,Brazil,27,FURIA,0.97,0.71,66.2%,1.09,70.7,0.61
yuurih,Brazil,23,FURIA,1.09,0.64,71.6%,1.03,79.3,0.68
KSCERATO,Brazil,23,FURIA,1.22,0.57,75.7%,1.16,82.5,0.73
saffee,Brazil,28,FURIA,1.03,0.60,69.4%,0.96,65.4,0.65
drop,Brazil,19,FURIA,0.90,0.64,69.3%,0.78,59.6,0.54
FL1T,Russia,22,Virtus.pro,1.14,0.64,70.3%,1.21,80.7,0.72
Qikert,Kazakhstan,24,Virtus.pro,0.97,0.60,71.0%,0.86,65.1,0.54
Jame,Russia,24,Virtus.pro,1.17,0.49,76.1%,1.06,67.0,0.68
n0rb3r7,Russia,22,Virtus.pro,1.06,0.69,72.0%,1.04,75.6,0.63
fame,Russia,20,Virtus.pro,1.04,0.62,72.1%,0.94,69.8,0.64
sdy,Ukraine,26,Monte,1.14,0.62,73.9%,1.07,80.0,0.72
Woro2k,Ukraine,21,Monte,1.15,0.61,71.2%,1.16,76.1,0.75
DemQQ,Ukraine,22,Monte,1.04,0.63,72.8%,0.94,71.0,0.63
kRaSnaL,Poland,20,Monte,1.03,0.67,71.7%,0.97,72.8,0.65
FalleN,Brazil,32,Imperial,1.10,0.57,72.6%,1.02,68.8,0.66
boltz,Brazil,26,Imperial,1.12,0.62,72.6%,1.06,79.7,0.68
chelo,Brazil,25,Imperial,1.10,0.64,71.0%,1.13,74.7,0.68
VINI,Brazil,24,Imperial,1.09,0.62,73.0%,1.04,73.9,0.67
JOTA,Brazil,25,Imperial,1.13,0.59,74.1%,1.05,77.3,0.69
KRIMZ,Sweden,29,fnatic,1.02,0.64,69.0%,0.96,71.4,0.65
FASHR,Netherlands,27,fnatic,0.98,0.67,70.3%,0.91,69.8,0.62
nicoodoz,Denmark,22,fnatic,1.08,0.60,71.9%,1.02,70.2,0.67
roeJ,Denmark,29,fnatic,1.03,0.69,68.2%,1.10,76.0,0.66
mezii,United Kingdom,24,fnatic,1.06,0.64,72.2%,0.99,74.4,0.66
k0nfig,Denmark,26,Ninjas in Pyjamas,1.05,0.68,69.5%,1.08,74.3,0.68
REZ,Sweden,25,Ninjas in Pyjamas,1.07,0.63,71.4%,1.02,73.7,0.67
hampus,Sweden,24,Ninjas in Pyjamas,0.82,0.65,65.5%,0.66,61.4,0.46
Brollan,Sweden,21,Ninjas in Pyjamas,1.05,0.67,68.3%,1.13,77.0,0.64
headtr1ck,Ukraine,18,Ninjas in Pyjamas,1.10,0.57,72.9%,0.97,68.7,0.70
rallen,Poland,29,Into the Breach,1.10,0.67,72.8%,1.05,80.4,0.71
CRUC1AL,Netherlands,26,Into the Breach,1.08,0.60,71.8%,1.06,68.7,0.69
Thomas,United Kingdom,25,Into the Breach,1.05,0.67,72.0%,0.98,76.8,0.66
CYPHER,United Kingdom,20,Into the Breach,1.03,0.71,69.5%,1.14,74.0,0.66
volt,United Kingdom,21,Into the Breach,1.06,0.62,72.8%,0.99,72.7,0.65
Krad,Russia,24,FORZE,1.01,0.68,69.0%,1.01,72.8,0.64
Jerry,Russia,25,FORZE,1.01,0.67,70.5%,0.94,72.0,0.62
zorte,Russia,25,FORZE,1.10,0.57,73.3%,1.00,68.4,0.69
shalfey,Russia,21,FORZE,1.12,0.63,72.9%,1.06,78.0,0.71
r3salt,Russia,18,FORZE,1.06,0.68,69.1%,1.06,76.9,0.70
device,Denmark,27,Astralis,1.23,0.60,72.7%,1.30,80.5,0.79
b0RUP,Denmark,23,Astralis,1.02,0.69,71.2%,0.99,72.0,0.66
blameF,Denmark,26,Astralis,1.23,0.59,74.5%,1.23,84.4,0.76
Staehr,Denmark,18,Astralis,1.10,0.67,70.5%,1.10,81.4,0.68
Buzz,Denmark,20,Astralis,1.00,0.66,70.9%,0.93,70.5,0.63
mynio,Poland,27,9INE,0.96,0.68,67.9%,0.94,71.7,0.59
Goofy,Poland,22,9INE,1.07,0.65,72.6%,1.00,74.6,0.68
hades,Poland,23,9INE,1.15,0.59,72.7%,1.14,73.5,0.73
KEi,Poland,22,9INE,1.12,0.70,70.3%,1.18,82.7,0.73
Kylar,Poland,23,9INE,1.06,0.63,71.8%,1.01,71.8,0.67
rigoN,Switzerland,23,Bad News Eagles,1.05,0.75,68.2%,1.17,79.3,0.71
SENER1,Kosovo,26,Bad News Eagles,0.91,0.67,68.1%,0.81,65.4,0.55
juanflatroo,Kosovo,26,Bad News Eagles,1.10,0.70,68.7%,1.15,82.3,0.76
sinnopsyy,Kosovo,27,Bad News Eagles,1.01,0.73,66.1%,1.06,77.6,0.68
gxx-,Kosovo,24,Bad News Eagles,1.06,0.61,70.1%,1.00,68.3,0.69
EliGE,United States,25,Complexity,1.07,0.67,71.0%,1.07,76.2,0.68
JT,South Africa,24,Complexity,0.90,0.71,66.7%,0.88,65.8,0.56
floppy,United States,23,Complexity,1.00,0.65,71.0%,0.90,71.6,0.61
hallzerk,Norway,22,Complexity,1.06,0.61,69.8%,1.02,70.3,0.67
Grim,United States,22,Complexity,1.07,0.70,71.1%,1.09,77.5,0.71
hardzao,Brazil,22,paiN,1.03,0.62,73.1%,0.89,70.0,0.63
biguzera,Brazil,26,paiN,1.13,0.66,72.2%,1.17,80.1,0.71
skullz,Brazil,21,paiN,1.17,0.61,74.2%,1.14,79.1,0.72
zevy,Brazil,22,paiN,1.12,0.61,71.2%,1.11,72.8,0.73
max,Uruguay,24,9z,1.00,0.67,69.7%,0.99,72.7,0.60
dgt,Uruguay,22,9z,1.16,0.60,73.4%,1.09,77.3,0.74
dav1deuS,Chile,23,9z,1.10,0.70,70.3%,1.15,80.7,0.73
try,Argentina,18,9z,1.14,0.61,72.2%,1.12,73.8,0.74
buda,Argentina,20,9z,0.91,0.67,68.8%,0.80,63.3,0.55
Sico,New Zealand,28,Grayhound,0.95,0.67,69.0%,0.86,68.6,0.60
Liazz,Australia,25,Grayhound,1.09,0.63,73.3%,1.00,76.2,0.67
aliStair,Australia,25,Grayhound,0.99,0.61,68.9%,0.95,62.7,0.62
INS,Australia,24,Grayhound,1.17,0.66,71.1%,1.25,86.3,0.75
Vexite,Australia,18,Grayhound,1.08,0.69,71.3%,1.14,75.2,0.71
Nodios,Denmark,24,ECSTATIC,1.05,0.66,70.8%,1.02,74.3,0.67
Queenix,Denmark,23,ECSTATIC,1.06,0.65,72.7%,0.99,73.8,0.65
maNkz,Denmark,25,ECSTATIC,1.03,0.72,70.8%,1.06,75.4,0.64
kraghen,Denmark,20,ECSTATIC,1.03,0.68,70.5%,1.00,75.6,0.66
salazar,Denmark,18,ECSTATIC,1.06,0.60,72.9%,0.97,66.3,0.66
MUTiRiS,Portugal,30,SAW,1.03,0.65,70.0%,0.95,74.0,0.64
roman,Portugal,31,SAW,1.02,0.65,70.1%,0.96,71.0,0.64
story,Portugal,21,SAW,1.11,0.59,72.8%,1.04,70.4,0.69
ewjerkz,Portugal,22,SAW,1.13,0.68,73.0%,1.18,78.6,0.70
arrozdoce,Portugal,20,SAW,1.01,0.66,67.8%,1.00,71.9,0.64
alex,Spain,27,Movistar Riders,1.08,0.64,72.0%,1.05,76.9,0.67
mopoz,Spain,26,Movistar Riders,1.01,0.68,68.1%,1.03,72.2,0.65
sausol,Spain,23,Movistar Riders,0.98,0.66,68.8%,0.90,70.7,0.63
dav1g,Spain,22,Movistar Riders,0.96,0.68,69.8%,0.89,69.7,0.60
Martinez,Spain,22,Movistar Riders,1.10,0.59,71.6%,1.09,68.3,0.68
HEN1,Brazil,27,MIBR,1.24,0.51,78.6%,1.11,76.5,0.73
exit,Brazil,26,MIBR,1.14,0.54,77.7%,0.93,73.4,0.65
brnz4n,Brazil,19,MIBR,1.16,0.66,73.4%,1.27,78.8,0.72
insani,Brazil,19,MIBR,1.24,0.63,74.4%,1.29,85.1,0.78
